Date,ABBN,ADEN,BAER,CFR,CSGN,GEBN,GIVN,LHN,LONN,NESN,NOVN,ROG,SCMN,SGSN,SLHN,SREN,UBSG,UHR,ZURN,SIK,SMI
15/01/2018,26.94,79.58,64.14,88.9,18.385,428.8,2261,59.08,264.4,82.9,83.54,244.4,518.6,2589,355,92.96,18.905,408,313.1,8305,9537.28
12/01/2018,27.13,79.42,63.24,89.34,18.29,430,2270,58.9,264.5,82.48,83.88,245.8,520.4,2575,356,92.96,18.895,406.6,313.6,8305,9546.61
11/01/2018,26.91,78.58,62.74,89.6,18.17,431.2,2257,59.24,264.3,82.4,83.32,244.5,519.4,2575,354.2,92.02,18.7,407.9,311.7,8270,9503.85
10/01/2018,26.88,78.4,62.58,89.1,17.85,431.7,2247,58.5,266.5,83.2,83.8,247.2,520.8,2586,353,91.56,18.59,408.3,308.6,8270,9524.96
09/01/2018,27.07,78.98,62.44,89.86,17.82,434.1,2272,59.04,271,84.4,84.96,249.8,530.6,2610,351.5,91.96,18.58,411.4,308.7,8305,9611.61
08/01/2018,26.93,78.5,62.08,89.74,17.775,433.7,2276,58.3,270.2,83.64,83.94,249.5,526.6,2601,349.9,91.3,18.5,408,301.3,8130,9541.73
05/01/2018,26.92,78.9,61.46,89.54,17.64,436.7,2327,58,270.9,83.74,84.08,252.2,524.8,2602,350.7,92.26,18.36,402.6,300.1,8070,9556.98
04/01/2018,26.72,77.32,61.12,89.4,17.83,432.8,2305,57.32,269,83.3,83.06,251.6,522.2,2579,348.3,91.96,18.48,401.8,298.3,7995,9509.28
03/01/2018,26.43,76.12,60.24,89.3,17.57,430.1,2291,56.04,269.8,83.38,83.5,251.1,520.4,2559,344.7,91.34,18.33,402.8,296.5,7895,9478.92
29/12/2017,26.12,74.55,59.6,88.3,17.4,429.1,2252,54.95,263.3,83.8,82.4,246.5,518.5,2541,345,91.25,17.94,397.4,296.6,7740,9381.87
28/12/2017,26.22,74.55,59.55,88.9,17.42,430.8,2249,55,262.7,83.9,82.7,247.4,519.5,2529,345.8,91.4,17.95,398.1,297.8,7825,9405.8
27/12/2017,26.4,75.05,59.5,89.6,17.56,431.5,2262,55,263.4,84.05,82.95,247.2,521,2539,345.6,92,17.97,399,298.2,7885,9430.44
22/12/2017,26.27,74.6,59.3,89,17.82,430.5,2242,54.4,261.7,83.6,82.2,246.3,519.5,2530,344.3,91.8,18.11,395.8,298,7815,9394.49
21/12/2017,26.31,74.85,59.55,89.15,17.84,430.6,2240,54.75,262.3,83.5,82.95,246.8,520.5,2520,346.4,92.2,18.22,396.7,299.9,7820,9424.67
20/12/2017,26.14,74.2,59.2,88.05,17.39,427.1,2221,53.9,258.2,82.65,81.85,244,515.5,2480,344.5,91.4,17.96,393.7,298.1,7745,9314.83
19/12/2017,26.12,74.3,59.6,88.45,17.52,425.6,2229,54.1,262.6,83.6,83.8,244.7,523,2483,344.7,91.6,18.15,395.5,300.3,7635,9399.17
18/12/2017,26.12,74.8,59.65,89.9,17.59,426.1,2213,54.15,267.2,84.2,84.1,246,524,2493,345.1,92.8,18.18,396.8,303.9,7755,9452.32
15/12/2017,25.77,74,59,89.05,17.47,425.1,2201,53.8,259.9,84.3,83.8,244.1,523,2457,341.4,92.5,18.01,394.3,302,7630,9394.71
14/12/2017,25.85,74.15,58.3,88.15,17.39,426.2,2233,52.7,264.7,85,83.85,241.7,520,2470,338.2,92.1,17.92,392.5,300.5,7600,9383.02
13/12/2017,25.69,74.25,57.45,88,17.46,428.9,2266,53.1,265.9,85.75,83.85,241.7,517,2475,334.5,91.45,17.85,382.5,300.7,7600,9394.55
12/12/2017,25.79,74.25,57.5,88.05,17.29,427.7,2260,52.5,263.5,85.5,83.55,241.7,518,2470,331.1,90.9,17.65,384.1,297.6,7565,9361.41
11/12/2017,25.75,73.9,57.2,87.8,17.21,425,2247,52.6,257.1,85,83,240.6,518,2458,332.8,90.5,17.56,386.8,296.4,7525,9314.76
08/12/2017,25.92,74.1,57.3,87.1,17.19,427.5,2255,52.95,257.1,85.35,83.1,240.5,524,2476,329.9,90.65,17.35,373.3,297.6,7530,9319.16
07/12/2017,25.53,73.8,57.1,86.35,16.73,426.7,2254,52.5,250.8,85.5,82.05,242.3,524,2467,327.6,90.75,16.99,369.7,297,7560,9270.57
06/12/2017,25.43,73.55,56.65,86.2,16.69,425.3,2265,52.75,252.7,85.8,82.5,247.2,520.5,2457,328,90.3,16.89,368,296.7,7585,9309.99
05/12/2017,25.27,73.6,57,86,16.82,427.4,2253,53.35,253.3,84.75,83.05,245.1,520,2444,328.8,90.55,17,364.6,297.1,7565,9288.92
04/12/2017,25.44,73.6,57.25,85.9,16.96,428.1,2231,53.3,252.6,84.4,84.1,247,524.5,2449,332,92.35,17.1,362.4,297.8,7530,9328.63
01/12/2017,24.92,73.2,57.05,85.65,16.57,422.4,2213,52.8,255.8,83.75,83.8,248.1,518.5,2417,327,91.85,16.95,361,294.1,7525,9274.55
30/11/2017,25.19,74.4,57.8,84.7,16.66,427.8,2238,53.8,257.1,84.25,84.2,248.2,519,2432,330.2,92.2,16.99,358.7,297.2,7600,9318.77
29/11/2017,25.12,74.15,57.1,84.2,16.34,426.5,2215,54,254.6,84.95,83.7,247.8,515.5,2402,329.8,92.85,17.01,358.1,295.6,7575,9304.42
28/11/2017,25.33,74.7,57.05,84.85,16.12,429,2216,54.1,257.8,86,83.6,248.1,512.5,2441,327.2,91.85,16.82,354.1,293.6,7505,9264.39
27/11/2017,25.06,73.9,56.4,86.1,16.15,426.4,2206,54.65,257.9,84.9,83,245.8,511,2410,329.2,91.55,16.81,356.7,293.1,7435,9264.39
24/11/2017,25.08,73.55,60.25,86.85,16.35,427,2231,55.45,258.9,85.2,83.4,246.5,510.5,2423,334.5,92.1,16.94,365,298.1,7525,9325.6
23/11/2017,24.9,73.8,60,87,16.33,427.3,2221,55.25,260.1,84.85,83.6,246.9,510,2410,333.1,92.05,16.91,366,296.8,7480,9315.56
22/11/2017,24.91,73.7,60.2,86.75,16.27,426.1,2228,54.85,261.8,84.25,83.3,246.8,509.5,2404,333.8,92.2,16.9,366.2,296.9,7455,9291.84
21/11/2017,25.27,74.4,60.35,87.45,16.3,428,2283,55.25,264.9,84.95,83.55,244,508.5,2423,335,92.55,16.96,367,299.2,7540,9324.53
20/11/2017,25.14,74.5,60.45,87.75,15.95,426.8,2289,55.75,262.6,84.75,83.1,243.6,508,2427,334.1,92.3,16.94,366.8,298.6,7610,9299.61
17/11/2017,24.89,73.95,59,86.65,15.88,423.8,2269,55.2,259.9,84.4,83.3,230.1,505.5,2400,335.7,92.85,16.98,360.7,299.8,7420,9183.61
