Date,ABBN,ADEN,BAER,CFR,CSGN,GEBN,GIVN,LHN,LONN,NESN,NOVN,ROG,SCMN,SGSN,SLHN,SREN,UBSG,UHR,ZURN,SIK,SMI
31/01/2018,25.95,76.6,63.9,89.32,17.96,441,2240,57,258.9,80.42,84.2,229.45,508.4,2503,349.5,91.8,18.9,426.5,305.9,8065,9335.4
29/12/2017,26.12,74.55,59.6,88.3,17.4,429.1,2252,54.95,263.3,83.8,82.4,246.5,518.5,2541,345,91.25,17.94,397.4,296.6,7740,9381.87
30/11/2017,25.19,74.4,57.8,84.7,16.66,427.8,2238,53.8,257.1,84.25,84.2,248.2,519,2432,330.2,92.2,16.99,358.7,297.2,7600,9318.77
31/10/2017,26.08,79.15,59,92,15.73,451.6,2228,56.35,265,83.9,82.2,230.5,504,2464,346.8,93.85,16.98,391,304.5,7385,9242.18
29/09/2017,23.94,75.4,57.3,88.5,15.33,458.1,2107,56.6,254,81.1,82.9,247.2,496.2,2323,341.1,87.7,16.55,402.8,295.4,7205,9157.46
31/08/2017,22.2,69.5,53.6,85.75,14.1,438.1,1960,56.35,242.8,81.35,80.9,243.5,483.6,2143,343.2,86.85,15.8,382.8,286.9,6800,8925.45
31/07/2017,22.7,73.8,54.7,82.15,14.88,465.2,1925,57.85,230,81.7,82.4,244.9,472.7,2138,353,93.25,16.82,383.9,294.8,6665,9055
30/06/2017,23.68,72.9,50.45,79,13.86,447.2,1918,54.9,207.3,83.45,79.8,244.2,462.7,2322,323.6,87.65,16.24,354.1,279.1,6160,8906.89
31/05/2017,24.33,72.2,50.15,80.8,13.3,453.4,1987,58.15,200.6,82.65,79.3,265.8,464.4,2305,323.1,88.3,15.4,375.2,284.7,6240,9016.64
28/04/2017,24.36,73.9,51.85,83.15,14.599,453.2,1917,56.4,188.5,76.65,76.55,260.3,434,2239,323.8,86.6,17,398.3,275.4,6350,8812.67
31/03/2017,23.43,71.15,50,79.2,14.377,431.8,1804,59.2,175.44,76.85,74.35,255.8,462.1,2137,323.2,89.95,16.03,358.7,267.4,6010,8658.89
28/02/2017,22.72,72.2,49.15,74,14.619,434.6,1824,57.15,171.36,74.25,78.4,244.7,442.2,2135,316,89.8,15.47,333.9,277.3,5655,8545.81
31/01/2017,23.43,70.4,46.24,76.7,14.464,421.6,1779,52.9,167.57,72.3,72.45,233,435,2092,299.1,92.1,15.97,349.5,283.5,5185,8291.69
30/12/2016,21.48,66.65,45.23,67.45,14.097,408.2,1866,53.65,163.3,73.05,74.1,232.6,456.1,2072,288.2,96.5,15.95,316.7,280.4,4892,8219.87
30/11/2016,20.72,62.65,44.93,66.45,13.046,402.5,1812,53.85,168.21,68.4,70.25,226.7,434.5,2043,279.6,93.6,16.17,298.9,266.5,4933,7875.19
31/10/2016,20.4,58.85,40.11,63.65,13.335,418.7,1915,52.85,173.03,71.75,70.4,227.5,452.7,2006,262,91.9,14,297.7,258.9,4756,7827.74
30/09/2016,21.81,54.7,39.53,59.2,12.264,425.4,1977,52.5,171.92,76.55,76.4,241,461.7,2175,251.5,87.65,13.23,274.7,250,4724,8139.01
31/08/2016,21.31,56.6,41.23,56.65,12.361,429,2033,52.15,172.66,78.3,77.4,239.8,469.9,2161,246,83,14.22,253.1,251.4,4686,8202.13
