Date,Ticker,Open,Close,High,Low,Vol_in_shares
14.02.2022,ABBN,31.4,31.4,31.55,31.04,5?361?030
11.02.2022,ABBN,32.49,32.44,32.66,32.17,3?479?165
10.02.2022,ABBN,33.12,32.93,33.24,32.73,4?115?307
09.02.2022,ABBN,32.54,32.97,33.11,32.5,4?046?035
08.02.2022,ABBN,32.22,32.24,32.36,32,3?601?098
07.02.2022,ABBN,31.53,32.08,32.23,31.46,4?510?775
04.02.2022,ABBN,31.8,31.35,31.92,31.27,4?484?932
03.02.2022,ABBN,32.2,31.78,32.5,31.49,5?675?024
02.02.2022,ABBN,32.41,32.58,32.7,32.28,4?229?814
01.02.2022,ABBN,32.21,32.14,32.47,32.03,4?396?489
31.01.2022,ABBN,31.55,31.71,32.07,31.43,4?801?046
28.01.2022,ABBN,32.16,31.13,32.49,30.83,6?336?978
27.01.2022,ABBN,32.04,32.49,32.96,32.01,4?764?487
26.01.2022,ABBN,32.52,32.86,33.22,32.41,4?183?085
25.01.2022,ABBN,32.34,32.22,32.62,32.01,4?242?747
24.01.2022,ABBN,33.37,32.01,33.67,31.84,5?701?716
21.01.2022,ABBN,33.84,33.58,33.92,33.21,4?822?023
20.01.2022,ABBN,34.15,34.39,34.44,33.86,2?859?072
19.01.2022,ABBN,33.52,34,34.3,33.38,4?518?050
18.01.2022,ABBN,33.81,33.52,33.84,33.4,3?897?310
17.01.2022,ABBN,33.97,34.14,34.28,33.76,2?332?136
14.01.2022,ABBN,34.51,33.91,34.57,33.84,3?667?251
13.01.2022,ABBN,35.1,34.85,35.17,34.65,3?248?211
12.01.2022,ABBN,34.7,35.12,35.36,34.63,4?020?432
11.01.2022,ABBN,34.14,34.24,34.39,34.11,3?898?067
10.01.2022,ABBN,34.96,33.8,35.03,33.8,4?716?370
07.01.2022,ABBN,35.2,35.01,35.26,34.78,3?011?062
06.01.2022,ABBN,35.01,35.16,35.35,34.87,2?852?823
05.01.2022,ABBN,35.69,35.79,35.79,35.52,3?027?895
04.01.2022,ABBN,35.37,35.6,35.78,35.3,2?837?527
03.01.2022,ABBN,35.06,35.28,35.58,34.99,2?882?018
30.12.2021,ABBN,35.15,34.9,35.23,34.9,2?825?126
29.12.2021,ABBN,35.15,35.18,35.3,35.02,2?051?930
28.12.2021,ABBN,35,35.15,35.27,34.94,1?582?330
27.12.2021,ABBN,34.52,34.95,35.06,34.44,1?798?785
23.12.2021,ABBN,34.11,34.63,34.7,34.05,2?844?365
22.12.2021,ABBN,34,33.92,34.1,33.56,2?657?910
21.12.2021,ABBN,33.87,33.94,33.98,33.65,2?647?140
20.12.2021,ABBN,33.51,33.41,33.74,33.13,3?432?878
17.12.2021,ABBN,34.51,34.14,34.6,33.94,7?821?254
16.12.2021,ABBN,34.1,34.54,34.75,34.1,5?099?938
15.12.2021,ABBN,33.37,33.53,33.68,33.09,3?380?185
14.12.2021,ABBN,34.05,33.39,34.29,33.39,3?334?419
13.12.2021,ABBN,33.79,33.78,34.15,33.66,2?779?845
10.12.2021,ABBN,33.84,33.73,34,33.58,2?920?265
09.12.2021,ABBN,33.99,33.93,34.11,33.73,3?074?654
08.12.2021,ABBN,33.7,33.8,34.14,33.65,4?371?263
07.12.2021,ABBN,33.54,33.56,33.85,32.97,5?351?324
06.12.2021,ABBN,32.68,33.24,33.24,32.52,4?150?596
03.12.2021,ABBN,32.44,32.41,33.09,32.33,5?151?214
02.12.2021,ABBN,31.82,32.35,32.37,31.39,4?879?190
01.12.2021,ABBN,32.09,32.28,32.46,31.87,4?673?693
30.11.2021,ABBN,31.61,31.89,32.15,30.98,13?217?273
29.11.2021,ABBN,31.48,31.94,32.21,31.48,4?251?612
26.11.2021,ABBN,31.67,31.5,31.92,31.44,5?351?380
25.11.2021,ABBN,32.96,32.89,33.07,32.76,1?973?894
24.11.2021,ABBN,33.37,32.91,33.44,32.67,3?135?667
23.11.2021,ABBN,33.24,33.11,33.42,32.98,3?619?101
22.11.2021,ABBN,33.23,33.52,33.58,33.08,4?269?764
19.11.2021,ABBN,33.19,33.25,33.47,33.02,4?919?464
18.11.2021,ABBN,33.15,33.01,33.29,32.9,3?371?122
17.11.2021,ABBN,32.6,33.05,33.19,32.45,3?650?179
16.11.2021,ABBN,32.3,32.65,32.71,32.14,2?879?482
15.11.2021,ABBN,32.23,32.24,32.32,32.14,2?030?517
12.11.2021,ABBN,32.11,32.3,32.33,31.97,2?997?552
11.11.2021,ABBN,31.88,32.06,32.25,31.81,2?772?166
10.11.2021,ABBN,31.98,31.97,32.09,31.77,4?296?994
09.11.2021,ABBN,31.82,31.89,32.02,31.71,2?744?103
08.11.2021,ABBN,31.4,31.87,31.91,31.37,2?683?497
05.11.2021,ABBN,31.65,31.49,31.81,31.44,3?999?886
04.11.2021,ABBN,31.93,31.64,31.96,31.53,3?568?269
03.11.2021,ABBN,31.16,31.51,31.57,31.03,4?300?800
02.11.2021,ABBN,30.32,30.82,30.93,30.19,4?085?593
01.11.2021,ABBN,30.39,30.32,30.51,30.26,4?106?396
29.10.2021,ABBN,30.2,30.29,30.34,29.83,3?624?345
28.10.2021,ABBN,30.39,30.29,30.51,29.95,4?403?648
27.10.2021,ABBN,30.28,30.48,30.57,30.23,3?105?592
26.10.2021,ABBN,29.91,30.32,30.54,29.85,4?346?324
25.10.2021,ABBN,30.42,30.06,30.42,29.74,5?009?487
22.10.2021,ABBN,30.25,30.29,30.44,30.01,5?021?565
21.10.2021,ABBN,30.6,30.1,31.12,29.85,9?891?408
20.10.2021,ABBN,31.88,32.1,32.33,31.86,3?403?274
19.10.2021,ABBN,31.67,31.88,31.92,31.55,2?786?765
18.10.2021,ABBN,31.72,31.55,31.8,31.41,2?820?210
15.10.2021,ABBN,31.86,31.91,32.01,31.6,4?026?681
14.10.2021,ABBN,31.51,31.68,31.73,31.25,2?992?562
13.10.2021,ABBN,30.6,31.33,31.4,30.54,3?177?999
12.10.2021,ABBN,30.2,30.78,30.88,30.11,3?387?548
11.10.2021,ABBN,30.56,30.52,30.64,30.31,2?320?034
08.10.2021,ABBN,30.96,30.69,31.02,30.64,3?185?115
07.10.2021,ABBN,30.59,30.89,30.94,30.45,3?408?615
06.10.2021,ABBN,30.38,30.14,30.6,29.69,3?605?682
05.10.2021,ABBN,30.33,30.6,30.67,30.15,2?595?397
04.10.2021,ABBN,30.65,30.37,30.82,30.35,3?391?292
