Date,Closing
30/06/2017,16.24
29/06/2017,16.36
28/06/2017,16.29
27/06/2017,16
26/06/2017,15.71
23/06/2017,15.61
22/06/2017,15.76
21/06/2017,15.74
20/06/2017,15.68
19/06/2017,15.85
16/06/2017,15.78
15/06/2017,15.63
14/06/2017,15.6
13/06/2017,15.75
12/06/2017,15.47
09/06/2017,15.49
08/06/2017,15.34
07/06/2017,15.46
06/06/2017,15.35
02/06/2017,15.44
01/06/2017,15.51
31/05/2017,15.4
30/05/2017,15.67
29/05/2017,15.9
26/05/2017,15.85
24/05/2017,15.84
23/05/2017,16.06
22/05/2017,15.93
19/05/2017,15.95
18/05/2017,15.77
17/05/2017,15.9
16/05/2017,16.25
15/05/2017,16.61
12/05/2017,16.82
11/05/2017,16.82
10/05/2017,17.05
09/05/2017,16.95
08/05/2017,16.97
05/05/2017,17.4
04/05/2017,17.4
03/05/2017,17.25
02/05/2017,17.11
28/04/2017,17
27/04/2017,16.65
26/04/2017,16.69
25/04/2017,16.53
24/04/2017,16.33
21/04/2017,15.56
20/04/2017,15.5
19/04/2017,15.42
18/04/2017,15.2
13/04/2017,15.45
12/04/2017,15.54
11/04/2017,15.7
10/04/2017,15.82
07/04/2017,15.68
06/04/2017,15.69
05/04/2017,15.67
04/04/2017,15.73
03/04/2017,15.8
31/03/2017,16.03
30/03/2017,15.95
29/03/2017,15.78
28/03/2017,15.6
27/03/2017,15.44
24/03/2017,15.54
23/03/2017,15.6
22/03/2017,15.53
21/03/2017,15.8
20/03/2017,15.89
17/03/2017,16.04
16/03/2017,16.14
15/03/2017,16.17
14/03/2017,15.98
13/03/2017,16.09
10/03/2017,16.17
09/03/2017,16.11
08/03/2017,15.92
07/03/2017,15.9
06/03/2017,16.02
03/03/2017,16.22
02/03/2017,16.13
01/03/2017,16.2
28/02/2017,15.47
27/02/2017,15.44
24/02/2017,15.45
23/02/2017,15.63
22/02/2017,15.7
21/02/2017,15.98
20/02/2017,15.96
17/02/2017,15.81
16/02/2017,15.94
15/02/2017,16.15
14/02/2017,15.94
13/02/2017,15.89
10/02/2017,15.95
09/02/2017,15.98
08/02/2017,15.78
07/02/2017,15.79
06/02/2017,15.82
03/02/2017,16
02/02/2017,15.71
01/02/2017,15.91
31/01/2017,15.97
30/01/2017,16.14
27/01/2017,16.25
26/01/2017,17.02
25/01/2017,17.23
24/01/2017,16.81
23/01/2017,16.48
20/01/2017,16.69
19/01/2017,16.77
18/01/2017,16.55
17/01/2017,16.91
16/01/2017,17.04
13/01/2017,17.34
12/01/2017,16.7
11/01/2017,16.75
10/01/2017,16.78
09/01/2017,16.8
06/01/2017,17
05/01/2017,16.97
04/01/2017,17.12
03/01/2017,16.7
30/12/2016,15.95
29/12/2016,15.97
28/12/2016,16.16
27/12/2016,16.18
23/12/2016,16.08
22/12/2016,16.32
21/12/2016,16.47
20/12/2016,16.5
19/12/2016,16.48
16/12/2016,16.58
15/12/2016,16.78
14/12/2016,16.57
13/12/2016,16.82
12/12/2016,16.85
09/12/2016,17.08
08/12/2016,17.53
07/12/2016,17.42
06/12/2016,16.82
05/12/2016,16.11
02/12/2016,15.92
01/12/2016,16.2
30/11/2016,16.17
29/11/2016,15.79
28/11/2016,15.72
25/11/2016,15.96
24/11/2016,15.98
23/11/2016,15.88
22/11/2016,15.9
21/11/2016,15.84
18/11/2016,16.07
17/11/2016,16.07
16/11/2016,15.99
15/11/2016,16.17
14/11/2016,16.28
11/11/2016,15.43
10/11/2016,15.26
09/11/2016,14.04
08/11/2016,13.82
07/11/2016,13.71
04/11/2016,13.16
03/11/2016,13.32
02/11/2016,13.45
01/11/2016,13.75
31/10/2016,14
